meal,label
Slät ost- och skinksås med broccolitimbal och potatismos Slät äppelkräm,FOOD
Kladdkaka med lättvispad grädde,FOOD
Krämig blomkål- och broccoligratäng med kokt potatis,FOOD
Italienska köttbullar i tomatsås serveras med pasta,FOOD
Stekt falukorv serveras med makaroner/stuvade makaroner,FOOD
Blodpudding serveras med rotfruks/purjolöksfräs och lingon,FOOD
Köttbullar serveras med stuvade (mer än 3g laktos) makaroner samt ketchup,FOOD
Morotsbiffar serveras med kall vitlökssås och bulgur (veg),FOOD
"Chicken nuggets med currysås, ketchup och ris",FOOD
"Sojafärssås, spagetti och sallad",FOOD
Kyckling med örtsky och potatisgratäng,FOOD
Midsommarafton,NO
Frukost,GENERIC
serveras med pasta,NO
"Halv special med vegokorv, potatismos, gurkmajonnäs",FOOD
Ugnstekt falukorv serveras med potatismos,FOOD
Köttbullar serveras med makaroner,FOOD
"Dillkött, potatis",FOOD
F-kebabgryta med ris,FOOD
Fiskgratäng & potatismos,FOOD
"Kyckling med curry, ris",FOOD
Pastasås med rökt lax,FOOD
"Köttfärspaj, tomatsås, majs (timbal)",FOOD
Tunnpannkaka,FOOD
"Asiatisk kycklinggryta, ris",FOOD
Ugnsomelett,FOOD
Linsgryta med bulghur,FOOD
"Kyckling med röd curry och kokos, couscous samt kålsallad med chili, lime och koriander",FOOD
Campus Konradsberg klimatsmarta korvgryta med ris,FOOD
Vegokorv med bröd,FOOD
Lasagne,FOOD
Blomkål/Broccolisoppa hembakt bröd.,FOOD
Smörgås med ägg och kaviar,FOOD
Vegetarisk gulaschgryta och klimatsmart ris,FOOD
Kryddig korvgryta serveras med pasta,FOOD
Valfritt varje förskola,ANY
Portabelloburgare med matvete och tzatziki,FOOD
Kycklingkorvstroganoff och ris,FOOD
Kycklingbiff med potatis och brunsås,FOOD
VILT DAG,FOOD
Vegetariska alternativ,GENERIC
Soja korv Stroganoff serveras med pasta,FOOD
Ha en fin vecka!,MESSAGE
Asiatisk soppa med kyckling,FOOD
"Oxpurésoppa, Äppelsoppa, Nyponsoppa",FOOD
Broccolibiff serveras med rostat potatis /ris och vitlöksås,FOOD
Krämig vegetarisk korvgryta med ris,FOOD
Nudelwok serveras med sweet chili sås,FOOD
Grönsakssoppa med bröd.,FOOD
A la cuisine vegetarisk,FOOD
Pasta med ratatouille,FOOD
Potatis och broccoligratäng,FOOD
Kycklinggryta med rotfrukter serveras med bulgur,FOOD
Svampfrestelse med kokt ägghalva,FOOD
Växtbaserad grilltallrik,FOOD
Cornflakesbakad fisk med potatismos,FOOD
Pastasås med ost & rökt skinka och kokt pasta,FOOD
Kökets val,ANY
"Fiskfärsbiffar, potatismos & grönsaker",FOOD
Slät katrinplommonkräm med gräddmjölk,FOOD
Fruktmaräng,FOOD
Kökets val av alternativrätt,ANY
Frukost,GENERIC
"Fiskburgare, bröd, klyftpotatis, dillmajonäs",FOOD
"Hönsköttbullar serveras med gräddsås, kokt potatis, lingon och grönsaker",FOOD
Potatis- och jordärtskockssoppa,FOOD
"Grön ärtsoppa, hembakat bröd",FOOD
"Stekt fläsk med löksås, gröna ärtor och (kokt potatis)",FOOD
Vegobullar med gräddsås & kokt potatis,FOOD
Skinkstek med svartvinbärssås och (kokt potatis),FOOD
Rotfruktspytt med örter,FOOD
Maträtt,NO
Rödbetsbiff med skarpsås och kokt potatis,FOOD
Vegetariska världsdagen firas 1 Oktober,FOOD
Hamburgare med bröd och klyftpotatis,FOOD
"Korv stroganoff, ris",FOOD
Salladsbuffé,SIDE
Pannkaksbuffe,FOOD
"Kryddig korvgryta på svensk köttråvara, serveras med pasta och grönsaksbuffé",FOOD
Fisk Björkeby med kokt potatis och kall sås,FOOD
Panerad tofu med dillsås och kokt potatis,FOOD
"Mexikansk bönfyllning serveras med pitabröd, picklade grönsaker och vitlökssås",FOOD
Kökets val,ANY
"Sallad, bröd, smörgåsmargarin och mjölk",SIDE
Fisk o laxsoppa,FOOD
"Korvtimbal med slät tomatsås, ärttimbal och potatismos",FOOD
Inga måltider serveras,NO
"Grönsaksburgare med potatismos, gräddsås och grönsaker VEGETARISK",FOOD
Kyckling med pasta,FOOD
"Fisk i ugn med tomat och dill, potatis",FOOD
"Panerad fisk, serveras med vitlökssås och kokt potatis",FOOD
Nudelwok med quorn och grönsaker,FOOD
"Grillkorv, potatismos, ketchup, senap, salladsbuffé.",FOOD
"Grönsakssoppa, Tropisksoppa, Nyponsoppa",FOOD
Gräddig boulettgryta med pasta & broccoli,FOOD
Kökets val,ANY
"Världshälsodagen: Panerad tofu, vitlökssås, kokt potatis",FOOD
Gotländsk saffranskaka med sylt och vispad grädde,FOOD
Kockens val,ANY
Kyckling i currysås serveras med kokt potatis,FOOD
quorn tikka masala,FOOD
Potatisbullar med lingonsylt & ajvarröra,FOOD
Thaigryta med kyckling och basmatiris,FOOD
"Portergryta m. quorn, potatis, grönsaker, mazarin",FOOD
Anpassad kost,GENERIC
"Helstekt lax med kall dillsås, kokt potatis och citronklyftor",FOOD
Äpplekräm med visptopp,FOOD
"Rotfruktsbiffar med solroskärnor, grönppepparsås, potatis",FOOD
Pasta med ost & linssås,FOOD
Gulaschsoppa serveras med mjukt bröd,FOOD
Pannkaka med sylt och grädde,FOOD
"Hawaiikassler, bulgur",FOOD
Ugnskokt fisk med potatis och hollandaisesås,FOOD
Grötfrukost med bär/frukt.,FOOD
"Grönsaksgratäng med linser serveras med potatis, örtsås och grönsaksbuffé",FOOD
"Ris, kokt",FOOD
Kökets val,ANY
Pannbiff med klyftpotatis och kall sås med sweet chili,FOOD
Köttfärslimpa med gräddsås och potatis,FOOD
"Grekiska köttfärsbiffar, pasta tricolore, tzatziki, grönsaker",FOOD
"Veg. biff/ limpa/låda, sås och potatis",FOOD
"Kladdkaka, grädde",FOOD
Vegobitar i currysås serveras med ris,FOOD
Pasta & kalkonsås.,FOOD
Kökets vegetariska alternativ,GENERIC
"Kycklingsoppa, Blåbärssoppa, Nyponsoppa",FOOD
"Minestronesoppa med skinka och pasta, hembakat bröd och färskost",FOOD
"biff stroganoff, ris",FOOD
A la cuisine vegetarisk,FOOD
"Vårrulle med grönsaksfyllning, ris, sweetchilisås",FOOD
Ugnspannkaka med sylt,FOOD
Köket väljer,ANY
"Hoisinstekt sojafärs med sushiris, garikål, srirschakräm",FOOD
A la cuisine vegetarisk,GENERIC
Stekt fläsktimbal med löksås TIMBALKOST,FOOD
"Mellanmål: Smörgås, pålägg, mjölk och frukt",FOOD
Fisksoppa,FOOD
Kokt potatis,FOOD
Knäckig äppelpaj med vaniljsås,FOOD
"Pastasallad med körsbärstomater, bönor och krutonger, serveras med hyvlad parmesan och caesardressing, grönsaker",FOOD
Fruktkräm med mjölk,FOOD
Dagens veg: Papriganogratäng,FOOD
Zucchini och aubergingrantäng med fetaost och rostad potatis,FOOD
Görnsaksbiffar serveras med kall sås samt kokt potatis.,FOOD
Pudding,FOOD
Spenatlasagnette med keso,FOOD
"Veg. Grönsaksbiffar, sambalsås",FOOD
Stekt fisk med remouladsås och kokt potatis,FOOD
"Grönsaksgryta, havreris",FOOD
Chicken à la king med gryn,FOOD
Linssoppa,FOOD
"Vildsvinslasagne, grönsaker",FOOD
Het böngryta med potatis,FOOD
Potatisbullar med bacon serveras med keso och lingonsylt,FOOD
"Köttbullar med kokt potatis, brunsås och lingon",FOOD
Stekt fisk med potatis och remouladsås,FOOD
Köttfärssås och pasta,FOOD
Tema Earth hour: Chickennuggets serveras med kokt ris och kall currysås,FOOD
Fromage,FOOD
"Nattbakad karré med rostad potatis, chimichurri och yoghurtsås",FOOD
Veg: Quorn med dragonsås och kokt potatis,FOOD
Vi reserverar oss för eventuella ändringar!,MESSAGE
Tacopaj,FOOD
Morotslasagnette,FOOD
Broccoligratäng,FOOD
Kebabskavsgryta med Ris,FOOD
fläskkött 1: Korvgryta med rostad paprikagräddsås och potatispuré,FOOD
"Apelsin och chilibakad sej, kokt potatis",FOOD
"Korv i kryddig sås, serveras med ris",FOOD
Mellanmål: Potatisbullar med lingonsylt,FOOD
Lasagne,FOOD
Fläskpannkaka Lingonsylt Grönsaker,FOOD
Stekt falukorv med stuvade makaroner,FOOD
Äppelkaka med vaniljsås,FOOD
Fisk med rött täcke servera med potatismos,FOOD
Cowboysoppa med sojafärs serveras med bröd och pålägg,FOOD
Bondomelett,FOOD
Pastasallad med paprika och pesto på färsk spenat,FOOD
LUNCH: Gulaschsoppa serveras med smörgås och frukt,FOOD
pasta med skinksås / broccolisås,FOOD
Chicken naggets serveras med klyftpotatis och kall sås,FOOD
"Rostade rödbetor med fetaost, rosmarin och rostade pumpakärnor",FOOD
"Köttgryta med honung och rotfrukter, potatis och salladsbuffé",FOOD
Fiskgratäng serveras med kokt potatis,FOOD
Dagliga tillbehör,SIDE
Panerad fisk serveras med spenat och kokt potatis,FOOD
Oxtimbal med potatismos och stuvade morötter TIMBALKOST,FOOD
Ugnsstekt fisk med potatismos,FOOD
"Skink och grönsaksgratäng, (sallad)",FOOD
Salladsbuffé,SIDE
Mumsig linsgryta,FOOD
Lax i krämig sås med kokt potatis och grönsaker,FOOD
"Kökets kikärtsbiff, hamburgerdressing, hamburgerbröd, klyftpotatis och picklad rödlök",FOOD
Kristi Himmelsfärdsdag,NO
Frukost Förskola,GENERIC
Offentliga måltidens dag:,NO
Husets vegetariska lasagne med ingefärskräm,FOOD
"Stekt lax, sauce verte, potatis",FOOD
"Falafelburgare med bröd serveras med hemlagat potatismos, dressing och tillbehör",FOOD
"Varmkorv, potatismos, gurkdressing",FOOD
*Fisk bordelaise och hemlagat potatismos,FOOD
Grönsaker MAGTARMKOST,SIDE
Päronkaka med kardemummagrädde TIMBALKOST,FOOD
Minestronesoppa - Pannkaka med sylt,FOOD
"Dagens lunch: Panerad fisk, potatis och gräddfilssås",FOOD
Quornfilé med potatisgratäng,FOOD
Fruktsallad,SIDE
Kökets val,ANY
"Svampbiffar med gråärta, lingonsky och kokt potatis",FOOD
Morotssoppa med mjukt bröd och pålägg.,FOOD
Cowboysoppa serveras med mjuk smörgås och spreads,FOOD
Kikärtsbiff med tzatziki & ugnsstekt vitlökspotatis,FOOD
"Fisk med frasigt citrontäcke, dillmajonnäs och kokt potatis",FOOD
Svampsoppa,FOOD
22 Kokosrullad chokladboll (Vegan),FOOD
"Rödbetsbiff med kokt potatis, kall dillsås och grönsaker VEGETARISK",FOOD
Kycklingfilé med tomattäcke serveras med ris,FOOD
Frukost,GENERIC
"Korv i ugn, potatis",FOOD
"Blomkål- och broccoligratäng, potatis",FOOD
"Grönsaks nuggets serveras med gräddsås ,lingonsylt samt kokt potatis",FOOD
Kebabpytt serveras med kebabsås,FOOD
Rotfruktsgratäng med rökt höna,FOOD
Tomatpesto serveras med pasta eller gryn,FOOD
"Gourmeköttbullar med gräddsås, lingon och potatismos",FOOD
Valfritt varje förskola,ANY
"Färsbiff med viltsmak, sås, potatis picklad gurka",FOOD
Ärtfärslimpa med gräddsås och potatis,FOOD
Morotsbiff och potatismos,FOOD
Köttfärsrätt och pasta,FOOD
"Alternativ 1 Curry och cocosgryta, ris",FOOD
"Potatisbullar*, stekt bacon (f)*, lingonsylt, grönsaker",FOOD
Kycklinggryta med ris/bulgur,FOOD
Oumphbullar serveras med brunsås och potatis,FOOD
"Mexigryta, ris",FOOD
Fisksoppa serveras med bröd och pålägg,FOOD
67. Ananassoppa,FOOD
Fläskfärsbiff med gräddsås och potatismos,FOOD
"Veg: Blomkälsgryta med röd curry, kokosgädde och ingefära serveras med buljongkokt durumvete",FOOD
"Nötkorv, stekt potatis, smörgåsgurka",FOOD
"Laxsås, pasta",FOOD
Stekt kalkonovanlår med potatisgratäng,FOOD
Halloumi Tikka Masala serveras med bulgur,FOOD
Kökets salladsbuffe,SIDE
Elev från annan skola,NO
Kökets val,ANY
"Köttbullar på svensk köttråvara serveras med sås, kokt potatis, lingonsylt och grönsaksbuffé",FOOD
Kyckling röd curry med basmatiris (Thailand),FOOD
Gröna biffar serveras med matkorn och gräddfilssås,FOOD
Makaronchiligryta,FOOD
Höstgryta på bogfläsk & kokt potatis toppad med gräddfil,FOOD
Blodpudding,FOOD
"Lakto-ovo-veg+desser: Tomatpaj ost&persilja, örtdressing, grönsaker, äppelsmulpaj 18g kh, LF grädde",FOOD
Asiatisk nudelwok med grönsaker,FOOD
"Stekt falukorv, stuvade makaroner och salladsbuffe",FOOD
Kockens val,ANY
Ugnsbakad falukorv och makaroner,FOOD
Fiskgratäng (sej) med ost- och broccoli och potatis,FOOD
Vegetarisk rätt - enligt matsedeln på förskolan,GENERIC
Kockens dag,ANY
Taco,FOOD
"Tomatsoppa med pasta, bröd och pålägg",FOOD
Hållets val,ANY
Lasagne med spenat och svamp,FOOD
Salladsbuffé inkl bröd och dryck,SIDE
stängt,NO
Chili con carne med bulgur,FOOD
Wolof Meal - Potatisbullar och blodkorv,FOOD
Inga måltider serveras,NO
"Mellanmål: hårt/mjukt bröd med pålägg, grönsaker, frukt och mjölk.",FOOD
"Pastasås med ost & skinka, kokt pasta",FOOD
Champinjonsoppa med hembakat bröd,FOOD
Rispytt med bönor och fetaost,FOOD
Färgglad pastasås med kyckling & pennepasta,FOOD
Sportlov,NO
Potatis och purjolökssoppa med färskost och bröd,FOOD
Kökets val,ANY
Bärkaka DIABETES,FOOD
"Vegokorv i kryddig sås, serveras med ris",FOOD
Thaisoppa med grönsaker. Mjukt bröd och pålägg.,FOOD
Ost- och kycklingsås med pasta,FOOD
"Mexikansk böngryta, havreris & gräddfilsklick",FOOD
Kökets val,ANY
"Kycklinggryta med grönsaker, potatis",FOOD
Vegetariskt alternativ,GENERIC
"Fisk med örttäcke, potatismos",FOOD
LUNCH: Korvgryta serveras med pasta,FOOD
"Bourguignon med kyckling, serveras med potatis",FOOD
"E: Potatisbulle*, stekt fläsk (f)*, lingonsylt, grönsaker",FOOD
"Pastagratäng med salladsost, paprika och basilika",FOOD
Vegetarisk bolognese serveras med spaghetti,FOOD
Sportlov,NO
JUL LUNCH,FOOD
"Serveras med mjukt bröd, ost och grönsaksröra",NO
"Pannkaka, sylt och grädde",FOOD
Morotsbiffar med vitlöksyoghurt och kokt potatis,FOOD
Välkomna till ett nytt läsår!,MESSAGE
"Vegetarisk ärtsoppa, bröd, pålägg",FOOD
Kökets val - pastarätt,ANY
Quornfilé med klyftpotatis och ädelostsås,FOOD
Pastagratäng med röda linser och grönsaker,FOOD
Bärkompott med mjölk,FOOD
Gratinerad tortellini,FOOD
Plättar med sylt,FOOD
Salladsbuffé,SIDE
Ugnsstekt fisk med frasigt täcke serveras med potatismos,FOOD
Fiskgratänger med kokt potatis och ärtor,FOOD
Lasagne med tomat och keso,FOOD
"Mannagrynspudding, saftsås, smörgås och pålägg",FOOD
Vegetarisk soppa,FOOD
Kålsoppa,FOOD
Grönkålssoppa med ägghalva,FOOD
Potatismos med varmkorv,FOOD
Dagens soppa,SIDE
Italien,FOOD
"Vegetarisk ärtsoppa, hembakat bröd",FOOD
- Två olika sorters prinskorv,FOOD
Ananasbakelse med vispgrädde,FOOD
Broccolisoppa,FOOD
"Fiskburgare med bröd, dressing och klyftpotatis",FOOD
Lasagnette med tomat och keso,FOOD
Korv med bröd,FOOD
Vegetarisk gulaschsoppa med bröd,FOOD
Grönsakslåda med ost- och potatistäcke,FOOD
Remouladsås (kall),SIDE
• Korv serverat med potatismos och klassiska tillbehör,FOOD
Pastasås med rökt kött,FOOD
"Kyckling- och nötpannbiff serveras med lök, skysås, kokt potatis och grönsaker",FOOD
"Kökets klimatsmarta gryta med smak av curry och tomat (bulgur/potatis, grönsaker)",FOOD
K-dag,NO
Pizza Fisk med tomat och oregano,FOOD
Köket överraskar,ANY
"Grekisk köttgryta, potatis",FOOD
Lillschnitzel med kall sweetchillisås och bulgur,FOOD
"Slät blomkålssoppa, (smörgås)",FOOD
