meal,label
"Fiskpanetter med potatismos, kall remouladsås och grönsaker TIMBALKOST",FOOD
Stekt falukorv serveras med makaroner/stuvade makaroner,FOOD
"Ugnsstekt sejfilé, remouladsås och kokt potatis",FOOD
Spaghetti med köttfärssås,FOOD
"Raggmunk, bacon och lingonsylt",FOOD
Spagetti med krämig tomat och morotssås,FOOD
Salladsbuffe,SIDE
Kökets val,ANY
Köttbullar serveras med stuvade (mer än 3g laktos) makaroner samt ketchup,FOOD
"Pannkakor / raggmunk, pannkaksylt, lingonsylt",FOOD
Potatisbullar,FOOD
Kökets val,ANY
Tomatlasagne,FOOD
Morotslasagnette,FOOD
Salladsbuffé,SIDE
Street burger med klyftpotatis och tillbehör,FOOD
Krämig vegetarisk korvgryta med ris,FOOD
Det kommer att finnas minst två goda extrarätter en med kött och en vego,MESSAGE
"Pannkakor med keso och sylt, rårivna morötter",FOOD
Stekt kalkonovanlår med potatisgratäng,FOOD
Kökets val,ANY
"Kycklingsoppa, bröd",FOOD
"Aprikoskräm m äpple,ananas o russin",FOOD
"Ugnsgratinerad vegokorv serveras med potatismos, senap och ketchup",FOOD
"Pastagratäng med salladsost, paprika och basilika",FOOD
Ha en fin vecka!,MESSAGE
Inga måltider serveras,NO
Smaskig kebabgryta med gräddfil,FOOD
Vegetarisk stekt korv / makaroner,FOOD
Broccolisoppa,FOOD
Pasta med tomatsås,FOOD
Pasta med kalkonsås,FOOD
Makaronilåda,FOOD
Kokt potatis,FOOD
Portabelloburgare med matvete och tzatziki,FOOD
Kebabskavsgryta serveras med ris,FOOD
"Korv stroganoff, ris",FOOD
Lax i krämig sås med kokt potatis och grönsaker,FOOD
"Kryddig korvgryta på svensk köttråvara, serveras med pasta och grönsaksbuffé",FOOD
Vegobitar i currysås serveras med ris,FOOD
Hönsschnitzel serveras med rostad potatis samt kall currydressing,FOOD
Pannbiff med klyftpotatis och kall sås med sweet chili,FOOD
"Pastasallad med körsbärstomater, bönor och krutonger, serveras med hyvlad parmesan och caesardressing, grönsaker",FOOD
Kyckling röd curry med basmatiris (Thailand),FOOD
"Burgundisk köttgryta, ris",FOOD
Vegokorv med bröd,FOOD
"Köttbullar, gräddsås , potatis och kokta grönsaker",FOOD
Wienerfärslimpa av kalvfärs med gräddsås (och kokt potatis),FOOD
Spaghetti och köttfärssås,FOOD
Utfärdspaket Baguett med kycklingröra och grönsaker,FOOD
"Rotfruktsbiff, citronsås (kall), potatis, ärter. After eight päron, grädde",FOOD
Pasta med svamp & spetskål,FOOD
Köket väljer,ANY
Blomkål/Broccolisoppa hembakt bröd.,FOOD
"vegetariskt 2: Ärtbullar med sötsur morotssås, gulbeta och pumpafrön",FOOD
"Hemlagade gröna burgare serveras med bröd, dressing och klyftpotatis",FOOD
Kikärtsbiff med tzatziki & ugnsstekt vitlökspotatis,FOOD
Vegetarisk rätt - enligt matsedeln på förskolan,GENERIC
"Påsk lunch, Ugnsbakad lax, potatis serveras med kall örtsås",FOOD
Rödbetsbiff med skarpsås och kokt potatis,FOOD
Gulaschsoppa serveras med mjukt bröd,FOOD
"Ugnsbakad lax med dillhollandaisesås, potatis och citron",FOOD
"Köttbullar med pasta, ketchup",FOOD
• Ugnsbakad falukorv serverat med potatismos,FOOD
"Pyttipanna, rödbetor",FOOD
Örtbakad Tofu med samma goa,FOOD
"Kladdkaka, grädde",FOOD
Grönsaksgratäng med kokt potatis,FOOD
Solskenssoppa,FOOD
"Veg: Blomkälsgryta med röd curry, kokosgädde och ingefära serveras med buljongkokt durumvete",FOOD
"Apelsin och chilibakad sej, kokt potatis",FOOD
Potatis- och grönsaksgratäng med oliver,FOOD
Kyckling med pasta,FOOD
"Grönsaksburgare med bröd, klyftpotatis och dressing",FOOD
Pasta med köttfärssås,FOOD
"Varmkorv med potatismos, ketchup och senap",FOOD
Krämig tomat och linssås serveras med pasta,FOOD
Cowboysoppa med sojafärs serveras med bröd och pålägg,FOOD
Vegobullar med bulgur och basilika tomatsås,FOOD
Kalvsylta med rödbetssallad E-KOST,FOOD
"Alt 2: Biff à la Lindström, Gräddsås, Potatis, Ärtor",FOOD
serveras med pasta,NO
Champinjonomelett,FOOD
Kycklinglasagne,FOOD
Orientalisk linssoppa serveras med ostsmörgås. Frukt.,FOOD
"KVÄLLSMAT Köttbullar med brunsås, potatis och lingonsylt",FOOD
Broccolimedaljong med ratatouille,FOOD
Cornflakesbakad fisk med potatismos,FOOD
Dagens soppa,SIDE
"Morotsbiffar, kall sås, potatis",FOOD
Indisk köttfärsgryta med ris.,FOOD
"Panerad fisk, serveras med vitlökssås och kokt potatis",FOOD
Tunnpannkaka,FOOD
Pasta med kyckling och soltorkad tomat,FOOD
Stekt fisk med kall sås och kokt potatis,FOOD
Köttfärssås med pasta,FOOD
Korv & böngryta serveras med bulgur,FOOD
Pastasås med rökt kött,FOOD
"Spenatsoppa, Citrussoppa, Nyponsoppa",FOOD
Skinkstek med svartvinbärssås och (kokt potatis),FOOD
"LUNCH: Green nuggets serveras med raitasås, rostad potatis och rotfrukter",FOOD
Currydoftande kikärtsgryta med kokt potatis,FOOD
"Ugnsbakad Quornfilé med dill och senap, serveras med potatis",FOOD
Köttfärssås och spaghetti,FOOD
Silltallrik med ägghalva och kokt potatis,FOOD
"Fisk med örttäcke, potatismos",FOOD
"Kycklingsoppa med morot, selleri och basilika Svartvinbärsshake",FOOD
Tortilla med vegofärsröra och gräddfilssås,FOOD
Kalvsylta med kokt potatis och rödbetssallad MAGTARMKOST,FOOD
"Middag: Risgrynsgröt, kokt skinka, frukt",FOOD
"Köttbullar, sås, potatis och lingonsylt",FOOD
"Mjölk, smörgås, ost och köttpålägg, frukt/grönsaksbit",FOOD
"Köttbullar i gräddsås, kokt potatis, inlagd gurka och lingonsylt",FOOD
Thaisoppa med grönsaker. Mjukt bröd och pålägg.,FOOD
Stekt fiskfilé serveras med kokt potatis och kall sås,FOOD
"Texmexbiff, tomatsalsa med sting, ris",FOOD
Kalops med kokt potatis och grönsaker,FOOD
"Kycklinggryta med grönsaker, potatis",FOOD
Pannkaka och hemkokt sylt,FOOD
Gröna biffar serveras med matkorn och gräddfilssås,FOOD
Potatis och broccoligratäng,FOOD
Kyckling stroganoff serveras med svenskt ris,FOOD
"Dagens lunch: Ost och skinksallad, dressing, mjukt bröd",FOOD
"Panerad fisk, kall sås (potatis, grönsaker) Grekisk grönsaksbiff, kall sås (potatis, grönsaker)",FOOD
Krämig grönsakssoppa med krutonger. Serveras med bröd och pålägg,FOOD
Quornfilé med potatisgratäng,FOOD
Stekt ris med grönsaker,FOOD
"Hoisinstekt sojafärs med sushiris, garikål, srirschakräm",FOOD
Fruktcocktail,FOOD
Kökets gröna val,ANY
Pasta med krämig skinksås,FOOD
Zucchini och aubergingrantäng med fetaost och rostad potatis,FOOD
Fläskfärsbiff med gräddsås och potatismos,FOOD
Pasta med ost och broccolisås samt riven ost,FOOD
Råkost/sallad,SIDE
STÄNGD,NO
Kökets val.,ANY
Fiskgratäng med färskost och örter med ris,FOOD
"Morotsbollar med potatismos, gräddsås och lingon",FOOD
Champinjonsoppa med hembakat bröd,FOOD
Blodpudding lingonsylt,FOOD
Korv stroganoff serveras med ris,FOOD
"Sommarkyckling med bacon(f)*, ris, grönsaker",FOOD
Cous couspytt med morotsbullar och kall dressing,FOOD
"Green Nuggets, curryremoulad, potatis, grönsaker",FOOD
Huvudrätt: Chili con carne med ris,FOOD
"Köttbullemacka, mjölk, hårt bröd, grönsaker och frukt",FOOD
kockarnas val,ANY
Glass med rån,FOOD
"Morotsbiff, tomatsås & cous cous",FOOD
"Frukost: Havregrynsgröt, lättsockrad äpplemos, hembakat bröd, pålägg och grönsak",FOOD
Vegetarisk ugnsgratinerad ajvarquorn,FOOD
"Fil med frukt, cornflakes el müsli, smörgås, pålägg, grönsak",FOOD
Lunch 1: Japans dag:Sushi / sukiyaki med ris,FOOD
Salladsbuffé,SIDE
Ugnsstekt fisk med potatismos,FOOD
"Gulaschsoppa, Aprikossoppa, Jordgubbssoppa",FOOD
Grönsaksbiff serveras med kall citron- & dillsås och kokt potatis,FOOD
"Indisk kycklinggryta, ris/havreris",FOOD
Potatislåda med matjesill och gräslök,FOOD
Fläskpannkaka Lingonsylt Grönsaker,FOOD
Gästens val,ANY
Mexikansk potatisfrestelse med sojafärs,FOOD
Kockens val,ANY
Klimatsmart tacos,FOOD
Köttfärslåda med potatis och curry och grönsaker,FOOD
Blomkålsgratäng serveras med potatis,FOOD
Stekt falukorv med stuvade makaroner,FOOD
"Grönsaks nuggets serveras med gräddsås ,lingonsylt samt kokt potatis",FOOD
Pastasås med rökt lax,FOOD
Maträtt,NO
Frukost:,NO
Rotfruktgratäng med linser och smak av dragon,FOOD
"Dagens veg: Vegetarisk burgare, hamburgerbröd, remouladsås, potatismos",FOOD
"Tomatsoppa med bröd och ost. Varje dag serveras salladsbuffé, dressing, knäckebröd, smör och mjölk",FOOD
Kalvsylta med kokt potatis och rödbetssallad,FOOD
Lasagne,FOOD
Pasta Carbonara med svenskt bacon serveras med grönsaksbuffé,FOOD
Potatis- och jordärtskockssoppa,FOOD
"Köttgryta med honung och rotfrukter, potatis och salladsbuffé",FOOD
Veg: Vegofärsbiffar med sås och potatis,FOOD
"Falukorv, kokt potatis och stuvad blomkål",FOOD
Korvgryta à la Forsell serveras med ris,FOOD
Broccolisoppa,FOOD
Ugnsbakad falukorv och makaroner,FOOD
"Vegobullar, sås, potatis, grönsaker, lingonsylt",FOOD
"Vegetarisk kost: Qourngryta med rotfrukter, matvete och grönsaker",FOOD
Makaroner och korv,FOOD
Kycklingkorvstroganoff,FOOD
"Grönsakswok med quorn, nudlar, varm grönsak",FOOD
Kökets val,ANY
"Potatisbullar*, stekt bacon (f)*, lingonsylt, grönsaker",FOOD
"Grönsakssoppa, Tropisksoppa, Nyponsoppa",FOOD
Vad köket erbjuder,ANY
Bergakungens sås serveras med pasta,FOOD
Stekt falukorv med pasta och grönsaker,FOOD
"Ugnsbakade rotsaker ,kall sås, kokt potatis",FOOD
Fiskbullar i dillsås serveras med kokt potatis,FOOD
Quorngryta med kokos och bulgur,FOOD
Cowboyssoppa samt mjuk smörgås.,FOOD
"Tomat- och ostgratinerad falukorv, potatismos och broccoli",FOOD
Nudelwok serveras med sweet chili sås,FOOD
Kökets val av alternativrätt,ANY
"Korv i kryddig sås, serveras med ris",FOOD
Ost och broccolisås med pasta,FOOD
Stekt salt sill med löksås,FOOD
"Sallad, bröd, smörgåsmargarin och mjölk",SIDE
Fruktsallad,SIDE
"Halv special med vegokorv, potatismos, gurkmajonnäs",FOOD
Fiskgratäng serveras med kokt potatis,FOOD
"Mjölk, mjukt och hårt bröd, ost, grönsaker och frukt",FOOD
Spansk bondomelett med soltorkade tomater och linser och grönsaker VEGETARISK,FOOD
Köttfärssås och pasta,FOOD
Lasagne,FOOD
Morotsbiffar med klyftpotatis och tzatziki,FOOD
Kökets val av alternativrätt,ANY
Köttgryta med enbär,FOOD
"Cevapcici, vitlökssås, klyftpotatis",FOOD
Inga måltider serveras,NO
"Kycklingsoppa, Blåbärssoppa, Nyponsoppa",FOOD
"Gulaschsoppa, bröd och pålägg",FOOD
Räkcrêpes med dillsås,FOOD
"F: Kycklingsoppa med selleri*, en klick yoghurt",FOOD
"Vegetariskt alternativ serveras varje dag samt salladsbuffé, knäckebröd och mjölk",FOOD
"Morotsbiff med kokt potatis, kall dillsås och grönsaker VEGETARISK",FOOD
"Köttbullar med kokt potatis, brunsås och lingon",FOOD
Fetaostfyllda rotfruktsbiffar med kokt potatis,FOOD
Bärkaka DIABETES,FOOD
Valfritt varje förskola,ANY
"Selleristick, potatismos och gurkmajonnäs",FOOD
Morotssoppa med mjukt bröd och pålägg.,FOOD
Salladsbuffé inkl bröd och dryck,SIDE
"Kyckling nuggets, gräddsås/sötsur sås, ris",FOOD
Slät ost- och skinksås med broccolitimbal och potatismos Slät äppelkräm,FOOD
Mac n´ Cheese med sojakorv,FOOD
Kikärtslåda med potatis,FOOD
Lunch 1: Kökets val,ANY
Dagens veg: Papriganogratäng,FOOD
Köket väljer,ANY
Biff Stroganoff serveras med ris,FOOD
Kladdkaka med lättvispad grädde,FOOD
Köttfärssås/ linssås med pasta och grönsaksbuffé,FOOD
Morotsmedaljong sås potatis,FOOD
"Korvtimbal med slät tomatsås, ärttimbal och potatismos",FOOD
Cowboysoppa med hembakt bröd,FOOD
LUNCH: Gulaschsoppa serveras med smörgås och frukt,FOOD
"Bolognese med spagetti, grönsaker och råkost",FOOD
"Minestronesoppa med skinka och pasta, hembakat bröd och färskost",FOOD
Linsgryta med bulghur,FOOD
Köttsfärsås serveras med spaghetti,FOOD
Köttbullar brunsås kokt potatis,FOOD
Pasta med ratatouille,FOOD
Pudding,FOOD
Het böngryta med potatis,FOOD
"Grönsaksburgare med kokt potatis, rödvinssås och grönsaker VEGETARISK",FOOD
Bakad potatis med skinkröra,FOOD
Pastagratäng med linser,FOOD
"Laxsås, pasta",FOOD
"Ris, kokt",FOOD
Färgglad pastasås med kyckling & pennepasta,FOOD
Vegetarisk cowboysoppa med mjukt bröd & tillbehör,FOOD
"Färsbiffar med tzatziki, havreris",FOOD
Dagens middag: Pytt i panna och gräddsås,FOOD
kyckling a la mustard serverad med potatismos,FOOD
"Soppa, bröd, pålägg och frukt",FOOD
Vegetarisk kebabskavsås med ris,FOOD
Kalops med kokt potatis och inlagda rödbetor,FOOD
Fisk under frasigt täcke serveras med potatismos,FOOD
Remouladsås (kall),SIDE
"Tortillas med köttfärsröra, tacosås/vitlökssås, riven ost och grönsaker",FOOD
Kökets gröna val,ANY
Grönsaks biff serveras med kokt potatis och kallsås,FOOD
Kyckling med örtsky och potatisgratäng,FOOD
Kålpudding serveras med gräddsås och kokt potatis,FOOD
"Köttbullar serveras med gräddsås , lingonsylt och kokt potatis",FOOD
JUL LUNCH,FOOD
"Sallad, bröd och dryck",SIDE
"Mannagrynspudding, saftsås, smörgås och pålägg",FOOD
"Fiskgryta, (potatis), grönsaker",FOOD
"Fisktimbal, citronsås, potatismos, ärttimbal",FOOD
Ostgratinerade champinjoncrepes,FOOD
Falafelburgare med rödbetsTzatsiki och rostade rotsaker,FOOD
Hedvigsoppa med sojafärs serveras med hembakat bröd 🌍🌍🌍,FOOD
